1    0     0, 0, 0, 0, 
2    4     1, 1, 1, 1,
3    2     0, 1, 0, 1, 
4    2     0, 0, 1, 1, 
5    1     0, 0, 0, 1, 
6    8     0, 1, 2, 5, 
7    4     0, 0, 1, 3, 
8    7     0, 1, 2, 4, 
9    14     0, 1, 4, 9, 
10    18     0, 2, 5, 11, 
11    21     0, 2, 6, 13, 
12    50     0, 5, 14, 31, 
13    60     0, 6, 17, 37, 
14    71     0, 7, 20, 44, 
15    170     0, 17, 48, 105, 
16    202     0, 20, 57, 125, 
17    241     0, 24, 68, 149, 
18    574     0, 57, 162, 355, 
19    684     0, 68, 193, 423, 
20    815     0, 81, 230, 504, 
